municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total
43074,2393,24.163647361907636,779.0,2291,3.79443254817987,124.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
43075,107,2.45876288659794,59.567010309278416,99,3.525,7.0,0.0,0.0,1.0,,,,,,
43076,593,14.786072103145319,181.69360269360268,544,3.73577235772358,31.0,0.0,0.0,1.0,,,,,,
43077,556,3.2947836284403005,244.3321799307957,476,3.38493723849372,9.0,0.0,0.0,0.0,,,,,,
43078,1129,5.6500718907261005,360.85794392523417,1017,3.4683257918552,20.0,0.0,1.0,1.0,,,,,,
43079,547,3.39614812271062,150.85912698412722,456,3.375,36.0,2.0,0.0,0.0,,,,,,
43080,285,4.59191456903127,82.60869565217388,276,3.65789473684211,11.0,0.0,0.0,0.0,,,,,,
43081,859,32.572682209352436,360.4268440145101,828,3.9736842105263195,10.0,1.0,0.0,1.0,,,,,,
43082,479,2.24064386317907,229.3802816901409,384,3.35121951219512,27.0,1.0,0.0,1.0,,,,,,
43083,189,7.2818223795598,79.63483146067405,183,4.04109589041096,11.0,0.0,0.0,0.0,,,,,,
43084,682,5.77175210094701,306.94934876989856,620,3.45964912280702,41.0,4.0,0.0,0.0,,,,,,
43085,296,9.89356984478936,89.69696969696977,260,3.89430894308943,27.0,1.0,0.0,1.0,,,,,,
43086,7410,83.26336245852929,2136.0671057493546,6499,3.834684109178613,296.0,17.0,5.0,14.0,1.0,0.0,1.0,1.0,1.0,4.0
43088,3073,59.278803934243506,1025.4498441865462,2755,3.7491256145376917,174.0,6.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0
43089,419,10.47811642351581,129.92248062015506,388,3.90062111801242,61.0,0.0,3.0,5.0,,,,,,
43090,1863,25.964888888888918,474.3749999999991,1740,3.7376,36.0,2.0,0.0,0.0,,,,,,
43091,173,11.76340519624101,76.88888888888883,157,4.38805970149254,41.0,3.0,0.0,0.0,,,,,,
43092,13101,128.21821170491305,4794.4612126235825,10074,3.818320046998159,2104.0,178.0,10.0,34.0,2.0,0.0,2.0,1.0,0.0,5.0
43093,5585,136.90578659339525,1788.2496861008551,4695,3.975949211541808,588.0,9.0,6.0,9.0,1.0,0.0,1.0,1.0,0.0,3.0
43094,3198,38.72542008119622,998.1144103688545,2606,3.823530579628141,194.0,10.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0
43095,3803,64.38044208140904,1106.688015060473,3335,3.7841058551213935,238.0,10.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
43096,160,4.64185855263157,66.31578947368408,120,3.828125,5.0,0.0,0.0,0.0,,,,,,
43097,636,17.96639293492378,222.5472636815918,561,3.68674698795181,32.0,3.0,1.0,1.0,,,,,,
43098,541,2.32267256496094,284.7947154471537,494,3.46078431372549,11.0,0.0,0.0,0.0,,,,,,
43099,341,2.25806722689076,168.494117647059,296,3.45714285714286,3.0,0.0,0.0,0.0,,,,,,
43100,4930,137.29622296445962,1613.6721803582175,4783,4.027986937830976,318.0,18.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0
43101,170,3.23596740225254,71.963190184049,162,3.59701492537313,2.0,0.0,0.0,0.0,,,,,,
43102,566,9.93427431967469,139.4640287769784,529,3.48260869565217,5.0,0.0,0.0,0.0,,,,,,
43103,1292,15.80763305896614,423.1530531324349,1230,3.74904214559387,1.0,0.0,0.0,0.0,,,,,,
43104,2885,10.801747317703272,966.338021703058,2293,3.3962035328144835,250.0,12.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0
43105,224,3.34316037735849,103.54716981132071,208,3.55681818181818,7.0,0.0,0.0,1.0,,,,,,
43106,1000,13.455044670200841,320.5506391347099,891,3.45107398568019,36.0,2.0,0.0,0.0,,,,,,
43107,489,10.35288151771866,131.9208924949289,465,3.57843137254902,8.0,1.0,0.0,0.0,,,,,,
